[INVENT_3539] Fit: 0.0000 | Stack: 5 | Logic: ["OP_3539", "LIT(8)"]
[INVENT_1705] Fit: 0.0303 | Stack: 5 | Logic: ["OP_1705", "LIT(8)"]
[INVENT_2046] Fit: 0.0000 | Stack: 5 | Logic: ["OP_2046", "LIT(8)"]
[INVENT_7418] Fit: 0.0000 | Stack: 5 | Logic: ["OP_7418", "LIT(8)"]
[INVENT_7105] Fit: 0.0000 | Stack: 5 | Logic: ["OP_7105", "LIT(8)"]
[INVENT_7313] Fit: 0.0000 | Stack: 5 | Logic: ["OP_7313", "LIT(8)"]
[INVENT_8435] Fit: 0.0204 | Stack: 5 | Logic: ["OP_8435", "LIT(8)"]
[INVENT_3512] Fit: 0.0000 | Stack: 5 | Logic: ["OP_3512", "LIT(8)"]
[INVENT_8159] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8159", "LIT(8)"]
[INVENT_1169] Fit: 0.0204 | Stack: 5 | Logic: ["OP_1169", "LIT(8)"]
[INVENT_6308] Fit: 0.0000 | Stack: 5 | Logic: ["OP_6308", "LIT(8)"]
[INVENT_2436] Fit: 0.0000 | Stack: 5 | Logic: ["OP_2436", "LIT(8)"]
[INVENT_5932] Fit: 0.0909 | Stack: 5 | Logic: ["OP_5932", "LIT(8)"]
[INVENT_8774] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8774", "LIT(8)"]
[INVENT_8463] Fit: 0.0625 | Stack: 5 | Logic: ["OP_8463", "LIT(8)"]
[INVENT_4848] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4848", "LIT(8)"]
[INVENT_1483] Fit: 0.0000 | Stack: 5 | Logic: ["OP_1483", "LIT(8)"]
[INVENT_4124] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4124", "LIT(8)"]
[INVENT_5403] Fit: 0.0000 | Stack: 5 | Logic: ["OP_5403", "LIT(8)"]
[INVENT_6032] Fit: 0.0000 | Stack: 5 | Logic: ["OP_6032", "LIT(8)"]
[INVENT_6586] Fit: 0.0000 | Stack: 5 | Logic: ["OP_6586", "LIT(8)"]
[INVENT_5091] Fit: 0.0000 | Stack: 5 | Logic: ["OP_5091", "LIT(8)"]
[INVENT_1204] Fit: 0.0000 | Stack: 5 | Logic: ["OP_1204", "LIT(8)"]
[INVENT_7456] Fit: 0.0000 | Stack: 5 | Logic: ["OP_7456", "LIT(8)"]
[INVENT_8717] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8717", "LIT(8)"]
[INVENT_8942] Fit: 0.0256 | Stack: 5 | Logic: ["OP_8942", "LIT(8)"]
[INVENT_9828] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9828", "LIT(8)"]
[INVENT_4024] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4024", "LIT(8)"]
[INVENT_3903] Fit: 0.0000 | Stack: 5 | Logic: ["OP_3903", "LIT(8)"]
[INVENT_5179] Fit: 0.0000 | Stack: 5 | Logic: ["OP_5179", "LIT(8)"]
[INVENT_3661] Fit: 0.0000 | Stack: 5 | Logic: ["OP_3661", "LIT(8)"]
[INVENT_6283] Fit: 0.0000 | Stack: 5 | Logic: ["OP_6283", "LIT(8)"]
[INVENT_4418] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4418", "LIT(8)"]
[INVENT_7867] Fit: 0.0000 | Stack: 5 | Logic: ["OP_7867", "LIT(8)"]
[INVENT_6184] Fit: 0.0000 | Stack: 5 | Logic: ["OP_6184", "LIT(8)"]
[INVENT_4106] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4106", "LIT(8)"]
[INVENT_1435] Fit: 0.0000 | Stack: 5 | Logic: ["OP_1435", "LIT(8)"]
[INVENT_1882] Fit: 0.0000 | Stack: 5 | Logic: ["OP_1882", "LIT(8)"]
[INVENT_1073] Fit: 0.0000 | Stack: 5 | Logic: ["OP_1073", "LIT(8)"]
[INVENT_3198] Fit: 0.0303 | Stack: 5 | Logic: ["OP_3198", "LIT(8)"]
[INVENT_6788] Fit: 0.0000 | Stack: 5 | Logic: ["OP_6788", "LIT(8)"]
[INVENT_9167] Fit: 0.0588 | Stack: 5 | Logic: ["OP_9167", "LIT(8)"]
[INVENT_8054] Fit: 0.0303 | Stack: 5 | Logic: ["OP_8054", "LIT(8)"]
[INVENT_1532] Fit: 0.0000 | Stack: 5 | Logic: ["OP_1532", "LIT(8)"]
[INVENT_7842] Fit: 0.0000 | Stack: 5 | Logic: ["OP_7842", "LIT(8)"]
[INVENT_2667] Fit: 0.0000 | Stack: 5 | Logic: ["OP_2667", "LIT(8)"]
[INVENT_9922] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9922", "LIT(8)"]
[INVENT_3150] Fit: 0.0270 | Stack: 5 | Logic: ["OP_3150", "LIT(8)"]
[INVENT_1343] Fit: 0.0000 | Stack: 5 | Logic: ["OP_1343", "LIT(8)"]
[INVENT_8954] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8954", "LIT(8)"]
[INVENT_8950] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8950", "LIT(8)"]
[INVENT_5664] Fit: 0.0000 | Stack: 5 | Logic: ["OP_5664", "LIT(8)"]
[INVENT_2304] Fit: 0.0244 | Stack: 5 | Logic: ["OP_2304", "LIT(8)"]
[INVENT_8893] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8893", "LIT(8)"]
[INVENT_4997] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4997", "LIT(8)"]
[INVENT_9629] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9629", "LIT(8)"]
[INVENT_4643] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4643", "LIT(8)"]
[INVENT_7409] Fit: 0.0303 | Stack: 5 | Logic: ["OP_7409", "LIT(8)"]
[INVENT_6395] Fit: 0.0000 | Stack: 5 | Logic: ["OP_6395", "LIT(8)"]
[INVENT_6581] Fit: 0.0000 | Stack: 5 | Logic: ["OP_6581", "LIT(8)"]
[INVENT_7669] Fit: 0.0000 | Stack: 5 | Logic: ["OP_7669", "LIT(8)"]
[INVENT_2539] Fit: 0.0000 | Stack: 5 | Logic: ["OP_2539", "LIT(8)"]
[INVENT_4433] Fit: 0.0500 | Stack: 5 | Logic: ["OP_4433", "LIT(8)"]
[INVENT_5375] Fit: 0.0000 | Stack: 5 | Logic: ["OP_5375", "LIT(8)"]
[INVENT_7625] Fit: 0.0130 | Stack: 5 | Logic: ["OP_7625", "LIT(8)"]
[INVENT_2912] Fit: 0.0000 | Stack: 5 | Logic: ["OP_2912", "LIT(8)"]
[INVENT_5111] Fit: 0.0000 | Stack: 5 | Logic: ["OP_5111", "LIT(8)"]
[INVENT_9458] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9458", "LIT(8)"]
[INVENT_2692] Fit: 0.0000 | Stack: 5 | Logic: ["OP_2692", "LIT(8)"]
[INVENT_5036] Fit: 0.0000 | Stack: 5 | Logic: ["OP_5036", "LIT(8)"]
[INVENT_9607] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9607", "LIT(8)"]
[INVENT_8768] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8768", "LIT(8)"]
[INVENT_3494] Fit: 0.0312 | Stack: 5 | Logic: ["OP_3494", "LIT(8)"]
[INVENT_8319] Fit: 0.0000 | Stack: 5 | Logic: ["OP_8319", "LIT(8)"]
[INVENT_6207] Fit: 0.0909 | Stack: 5 | Logic: ["OP_6207", "LIT(8)"]
[INVENT_7260] Fit: 0.0909 | Stack: 5 | Logic: ["OP_7260", "LIT(8)"]
[INVENT_1246] Fit: 0.0204 | Stack: 5 | Logic: ["OP_1246", "LIT(8)"]
[INVENT_4935] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4935", "LIT(8)"]
[INVENT_5937] Fit: 0.0000 | Stack: 5 | Logic: ["OP_5937", "LIT(8)"]
[INVENT_9656] Fit: 0.0000 | Stack: 5 | Logic: ["OP_9656", "LIT(8)"]
[INVENT_3667] Fit: 0.0000 | Stack: 5 | Logic: ["OP_3667", "LIT(8)"]
[INVENT_4412] Fit: 0.0000 | Stack: 5 | Logic: ["OP_4412", "LIT(8)"]
[INVENT_9555] Fit: 0.5000 | Stack: 5 | Logic: ["OP_9555", "LIT(8)"]
